project,version,lines,percent
cesium,2,19278,71.2
cesium,3,21357,78
cesium,5,25042,74.1
cesium,4,23983,75.3
cesium,6,24930,76.4
cesium,7,25845,79
cesium,8,27465,78.7
cesium,9,28263,79
cesium,10,28832,79.9
cesium,11,29873,80.8
cesium,1,17570,70
cesium,12,30532,82.8
cesium,13,31151,82.3
cesium,14,34702,84.3
cesium,15,41093,78.3
cesium,16,38731,83.9
cesium,18,40031,83.9
cesium,17,40434,82.9
cesium,19,40424,84
cesium,20,41759,82.9
cesium,21,44545,81.8
cesium,22,44838,82.3
cesium,23,45665,82.5
cesium,24,46228,82.7
underscore,1,483,94
underscore,2,493,94.1
underscore,3,509,93.9
underscore,4,510,93.9
underscore,5,511,93.9
underscore,6,510,93.9
underscore,7,569,94.2
underscore,8,574,94.3
underscore,9,577,94.3
underscore,10,589,94.2
underscore,11,590,94.2
underscore,12,596,94.3
underscore,13,597,94.3
underscore,15,598,94.3
underscore,16,600,94.3
underscore,14,600,94.3
underscore,17,600,94.8
underscore,19,617,95
underscore,20,616,94.8
underscore,21,625,94.6
underscore,18,608,94.9
underscore,22,634,94.6
underscore,24,651,95.1
pdf.js,1,8887,7.1
underscore,23,638,94.7
pdf.js,2,813,16
pdf.js,3,9149,21.5
pdf.js,4,9379,16.2
pdf.js,6,10069,20.1
pdf.js,5,10017,19.9
pdf.js,7,10142,20.1
pdf.js,8,10262,19.8
pdf.js,9,10504,19.6
pdf.js,11,10771,19.3
pdf.js,12,10817,19.5
pdf.js,10,10708,19.3
pdf.js,13,11134,19.2
pdf.js,14,11970,22.4
pdf.js,15,12227,22.2
pdf.js,16,12948,21.1
pdf.js,18,12997,15.1
pdf.js,17,13013,21.1
pdf.js,19,13048,15.1
pdf.js,21,13487,15.9
pdf.js,20,13262,16
pdf.js,23,13627,15.5
pdf.js,22,13535,15.8
pdf.js,24,14294,15.2
picasso,1,1106,29.5
picasso,2,1122,29.2
picasso,3,1188,56.7
picasso,4,1610,55.6
mrjob,1,5034,74.9
mrjob,3,5294,82
mrjob,4,5330,81.8
mrjob,5,5381,82
mrjob,7,5301,81.9
mrjob,2,5303,81.8
picasso,5,2264,57.1
picasso,6,2463,57.4
mrjob,6,5855,69.9
mrjob,11,5952,81.4
mrjob,10,5953,81.5
mrjob,12,5955,81.4
mrjob,15,5984,82.2
mrjob,17,6009,82.2
mrjob,9,5952,81.4
mrjob,16,6009,82.2
mrjob,14,5982,82.2
mrjob,8,5939,80.5
mrjob,13,5996,82.2
mrjob,18,6059,81.8
mrjob,23,6452,80
mrjob,19,6341,79.9
mrjob,22,6452,80
mrjob,24,6458,80
mrjob,21,6365,80.2
mrjob,20,6367,80.2
picasso,7,3021,50.3
picasso,8,3254,58.1
picasso,10,3328,57.9
picasso,11,3328,57.9
picasso,9,3325,57.4
picasso,12,3359,57.8
