project,version,lines,percent
velocity,1,116,0
velocity,2,211,0
velocity,3,211,0
velocity,4,216,0
velocity,5,216,0
velocity,6,216,0
velocity,7,216,0
velocity,8,218,0
velocity,9,1366,71.6
velocity,10,1370,72
velocity,11,1366,71.6
velocity,12,1367,71.5
velocity,13,1366,71.6
velocity,14,1366,71.6
velocity,15,1366,72
velocity,16,1371,71.8
velocity,18,1371,72.2
velocity,19,1371,72.2
velocity,17,1371,71.8
velocity,20,1371,71.8
velocity,21,1371,71.8
velocity,22,1373,72.1
velocity,23,1371,72.2
velocity,24,1371,71.8
jsrender,1,326,94.8
jsrender,2,343,95
jsrender,3,387,90.2
jsrender,4,387,90.2
jsrender,5,387,90.2
jsrender,6,387,90.2
jsrender,7,460,86.7
jsrender,8,464,87.1
jsrender,9,486,88.9
jsrender,10,548,87.8
jsrender,11,554,87
jsrender,12,564,86.2
jsrender,13,564,86.2
jsrender,14,567,85.9
jsrender,15,567,85.9
jsrender,16,567,85.9
jsrender,17,571,85.6
jsrender,18,570,85.8
jsrender,19,584,85.5
jsrender,20,584,85.5
jsrender,21,617,87
jsrender,22,617,87
jsrender,23,637,87.1
jsrender,24,637,87.1
SlickGrid,1,1979,7.9
SlickGrid,2,1975,8
SlickGrid,3,1975,8
SlickGrid,4,1975,8
SlickGrid,5,2046,9.2
SlickGrid,6,2057,9.4
SlickGrid,7,2039,9
SlickGrid,8,2145,9
SlickGrid,9,2198,8.1
SlickGrid,10,2205,8.1
SlickGrid,11,2209,8.1
SlickGrid,12,2223,8.1
SlickGrid,13,2242,8
SlickGrid,14,2369,7.6
SlickGrid,15,2390,7.5
SlickGrid,16,2409,7.4
SlickGrid,17,2410,7.4
SlickGrid,18,2422,7.4
SlickGrid,19,2430,7.4
SlickGrid,20,2431,7.4
SlickGrid,21,2485,7.3
SlickGrid,22,2501,7.2
SlickGrid,23,2503,8.2
SlickGrid,24,2503,7.2
explainshell,5,107262,24.9
explainshell,2,107262,24.9
explainshell,7,107262,24.9
explainshell,9,107268,24.9
explainshell,1,107286,24.8
explainshell,6,107262,24.9
explainshell,8,107268,24.9
explainshell,3,107262,24.9
explainshell,4,107262,24.9
explainshell,11,110271,25.1
explainshell,14,110271,25.1
explainshell,17,110271,25.1
explainshell,12,110253,25.8
explainshell,24,108230,25.5
explainshell,23,108230,25.5
explainshell,10,110260,25.1
explainshell,19,110272,25.1
explainshell,20,110272,25.1
explainshell,22,110272,25.1
explainshell,15,110271,25.1
explainshell,21,110272,25.1
explainshell,18,110271,25.1
explainshell,13,110271,25.1
explainshell,16,110271,25.1
bup,1,3403,40.8
bup,3,3401,41
bup,4,3422,40.8
bup,2,3403,40.8
bup,5,3422,40.8
bup,7,4862,70.4
bup,6,4881,70.3
bup,8,4954,69.7
bup,9,5108,70.7
bup,12,5196,71.1
bup,14,5275,71.7
bup,11,5113,70.8
bup,13,5270,71.8
bup,17,5324,71.9
bup,10,5108,70.7
bup,15,5324,71.9
bup,16,5324,71.9
bup,18,5334,71.9
bup,19,5338,71.9
bup,23,5383,71.7
bup,20,5343,71.8
bup,21,5359,71.9
bup,22,5362,71.9
bup,24,5383,71.7
netty-socketio,2,3592,29.1
netty-socketio,1,3524,29.6
netty-socketio,4,3599,29
netty-socketio,5,3621,28.9
netty-socketio,3,3599,29.1
netty-socketio,6,4191,27.3
netty-socketio,7,4191,27.3
netty-socketio,9,4139,27
netty-socketio,10,4151,27
netty-socketio,8,4158,26.7
netty-socketio,11,4157,26.9
netty-socketio,12,4186,26.9
netty-socketio,19,4869,1.3
netty-socketio,23,4953,1.3
netty-socketio,21,4933,1.3
netty-socketio,22,4972,1.3
netty-socketio,20,4968,1.3
netty-socketio,24,5264,1.2
netty-socketio,14,4991,24
netty-socketio,13,5012,23.9
netty-socketio,15,5318,24
netty-socketio,17,5481,23.6
netty-socketio,18,5526,23.4
netty-socketio,16,5482,23.6
jieba,1,609,80.3
jieba,2,665,76.1
jieba,4,770,74.2
jieba,6,665,75.5
jieba,5,770,74.2
jieba,3,765,74.4
jieba,7,665,70.7
jieba,8,772,78.4
jieba,10,672,75.6
jieba,11,774,78.3
jieba,9,773,74.3
jieba,12,673,75.6
jieba,14,772,78
jieba,13,772,73.3
jieba,18,743,78.9
jieba,21,770,79.6
jieba,15,772,73.8
jieba,17,741,78.4
jieba,16,772,73.8
jieba,19,743,75.1
jieba,22,796,73.7
jieba,20,736,79.2
jieba,23,868,72.1
jieba,24,875,71.9
Mycat-Server,3,39484,24
Mycat-Server,6,40312,24.7
Mycat-Server,1,39492,24.1
Mycat-Server,4,39994,24.3
Mycat-Server,8,40984,24.8
Mycat-Server,7,40942,24.7
Mycat-Server,9,41907,24.5
Mycat-Server,2,41231,25.7
Mycat-Server,5,43046,23.3
Mycat-Server,10,43945,23.5
Mycat-Server,11,48719,21.7
pybrain,1,75536,29.6
pybrain,2,75536,29.6
pybrain,4,75585,29.6
pybrain,24,75580,29.4
pybrain,6,75568,29.4
pybrain,20,75570,29.3
pybrain,14,75570,29.4
pybrain,5,75585,29.6
pybrain,3,75536,29.6
pybrain,22,75572,29.3
pybrain,7,75568,29.4
pybrain,18,75570,29.4
pybrain,8,75568,29.4
pybrain,10,75568,29.4
pybrain,21,75572,29.3
pybrain,15,75990,29.4
Mycat-Server,13,50464,21.1
pybrain,17,75570,29.4
pybrain,16,75570,29.5
pybrain,19,75570,29.5
pybrain,11,75570,29.4
pybrain,9,75568,29.4
Mycat-Server,14,51712,20.2
pybrain,12,75570,29.4
pybrain,13,75570,29.4
Mycat-Server,12,49630,21.2
pybrain,23,75572,29.3
Mycat-Server,15,55445,19.7
Mycat-Server,16,58419,20.3
Mycat-Server,17,60205,20.1
jstorm,2,72104,1
