"","Estimate","Std. Error","t value"
"(Intercept)",0.259366559646521,0.0340513435829424,7.61692586416612
"totalCommits",-0.000134849101848623,3.92503548304382e-05,-3.43561484809939
"testChangesPerCommit",-4.40965759550425e-05,1.96132721494781e-05,-2.2483028644568
"countCommitsWithTests",0.000287207015025095,0.000108442150444205,2.64848136862489
"totalCommitters",0.000724121453976181,0.000331766577497708,2.18262327518867
"version:projectaframe",-0.000758533370931025,0.00383706677516836,-0.19768573636505
"version:projectAloha-Editor",-0.000188855890063599,0.00383718145420901,-0.049217346721105
"version:projectandroidannotations",0.00232968199851702,0.00383543260579566,0.607410490017911
"version:projectansible",0.000423003341053035,0.00383952179134514,0.110170840026627
"version:projectbackbone",0.0023671634285938,0.00385167623424112,0.614580064531357
"version:projectbokeh",0.00131714891381051,0.00384861195021669,0.342239989598418
"version:projectbootstrap",0.0118965221945357,0.00384084668567274,3.097369712494
"version:projectboto",0.00927125390545352,0.00383837566200533,2.41541076795225
"version:projectbuildbot",0.00162881886953562,0.00385472927336051,0.422550782176107
"version:projectbundler",0.000972196961932348,0.00383485064634336,0.25351625176312
"version:projectcakephp",0.00212389577687628,0.0038375950557557,0.553444473952722
"version:projectcas",0.00150188229879329,0.00383632347141457,0.391490005987295
"version:projectcesium",0.00139094333060071,0.0038425046696051,0.361988715746612
"version:projectchef",0.00120992265755087,0.00385397003291968,0.313941895556013
"version:projectCodeIgniter",0.00522470264423478,0.00384612195589112,1.3584339509131
"version:projectConversations",-0.000364868356456703,0.0038370813604403,-0.0950900755502446
"version:projectcore",0.00487307608170144,0.00391748874903948,1.24392854552454
"version:projectCrafty",0.000449951033562415,0.00384629927675741,0.116982845375917
"version:projectcython",-0.000108781942078997,0.00384170783157975,-0.0283160372542606
"version:projectdjango-cms",0.00865325890842964,0.00383891431384165,2.25409014137911
"version:projectdropwizard",0.00119320632642577,0.00384966875082164,0.309950388892837
"version:projecterpnext",-0.00353372141574949,0.00383923170483816,-0.920424107588071
"version:projectetherpad-lite",-0.000904803270725796,0.00385380150951149,-0.23478201160404
"version:projectfog",0.0031374336008246,0.00384103788615761,0.816819227982971
