"project","version","code_lines","test_lines","test_ratio" 
bokeh,1,30458,2197,0.07213211635695055
bokeh,2,30806,2299,0.07462831915860546
bokeh,3,78457,3859,0.04918617841620251
bokeh,4,33396,2538,0.07599712540424003
bokeh,5,86762,4219,0.04862727922362325
bokeh,6,93784,4168,0.04444254883562228
bokeh,7,89043,4353,0.04888649304268724
bokeh,8,24868,1961,0.07885636158919093
bokeh,9,25406,2784,0.10958041407541526
bokeh,10,125481,5003,0.03987057801579522
bokeh,11,125628,4228,0.03365491769350782
bokeh,12,134457,4337,0.032255665380009964
bokeh,13,151591,7907,0.05216008865961699
bokeh,14,180034,7968,0.04425830676427786
bokeh,15,186428,4886,0.026208509451369967
bokeh,16,189164,4915,0.0259827451312089
bokeh,17,191203,5406,0.028273614953740266
bokeh,18,98765,6059,0.06134764339593986
bokeh,19,98423,5465,0.055525639332269894
bokeh,20,93085,5442,0.05846269538593758
bokeh,21,97405,6045,0.06206046917509368
bokeh,22,95850,4285,0.044705268648930624
bokeh,23,100299,5719,0.05701951166013619
bokeh,24,100243,6108,0.060931935396985326
chef,1,82361,38583,0.4684620147885528
chef,2,83235,39067,0.46935784225385957
chef,3,83558,39434,0.47193566145671273
chef,4,1770,0,0
chef,5,73065,38463,0.526421679326627
chef,6,74344,39442,0.530533735069407
chef,7,1908,0,0
chef,8,1874,0,0
chef,9,78750,42519,0.5399238095238095
chef,10,80811,43535,0.5387261635173429
chef,11,80967,44022,0.5437029901070807
chef,12,591,0,0
chef,13,94180,53132,0.564153748141856
chef,14,95417,54071,0.5666809897607344
chef,15,96362,54829,0.5689898507710508
chef,16,96692,55022,0.569043974682497
chef,17,98792,56405,0.5709470402461738
chef,18,99778,57056,0.5718294614043176
chef,19,100162,57280,0.5718735648249835
chef,20,101332,58140,0.57375754944144
chef,21,103569,58715,0.5669167414960075
chef,22,105646,60193,0.5697612782310736
chef,23,107627,61658,0.5728859858585671
chef,24,109400,62717,0.5732815356489945
cython,1,46559,2368,0.05086019888743315
cython,2,46912,2368,0.0504774897680764
cython,3,46896,2377,0.05068662572500853
cython,4,47059,2377,0.05051106058352281
cython,5,47271,2410,0.0509826320577098
cython,6,47712,2410,0.05051140174379611
cython,7,48029,2410,0.05017801744779196
cython,8,48193,2412,0.050048762268379225
cython,9,48414,2530,0.052257611434708966
cython,10,48539,2538,0.05228785100640722
cython,11,48495,2532,0.05221156820290752
cython,12,48891,2540,0.051952302059683785
cython,13,49080,2562,0.052200488997555014
cython,14,49188,2562,0.052085874603561844
cython,15,50166,2733,0.05447912929075469
cython,16,50603,2859,0.05649862656364247
cython,17,50816,2876,0.0565963476070529
cython,18,50894,2876,0.05650960820528943
cython,19,50908,2876,0.05649406773002279
cython,20,51018,2876,0.05637226077070838
cython,21,51363,2877,0.05601308334793528
cython,22,51428,2877,0.055942288247647194
cython,23,51506,2877,0.05585756999184561
cython,24,51839,2934,0.056598314010686934
grails-core,1,143795,50094,0.34837094474773117
grails-core,2,148434,51394,0.34624142716628264
grails-core,3,150554,52656,0.349748263081685
grails-core,4,151655,53245,0.3510929412152583
grails-core,5,152021,53437,0.3515106465554101
grails-core,6,153859,54453,0.3539149481018335
grails-core,7,156065,55585,0.3561657001890238
grails-core,8,156638,56096,0.35812510374238693
grails-core,9,157161,56527,0.3596757465274464
grails-core,10,160064,58786,0.367265593762495
grails-core,11,161691,59514,0.36807243445831866
grails-core,12,163143,59762,0.36631666697314624
grails-core,13,162765,59877,0.36787392867016866
grails-core,14,168012,62166,0.3700092850510678
grails-core,15,168283,62349,0.37050088244207674
grails-core,16,162781,59766,0.36715587199980343
grails-core,17,162961,59654,0.36606304575941484
grails-core,18,146506,56190,0.383533780186477
grails-core,19,147512,56081,0.3801792396550789
grails-core,20,145728,52333,0.3591142402283707
grails-core,21,146285,52402,0.3582185459889941
grails-core,22,143936,51206,0.35575533570475765
grails-core,23,143726,50951,0.35450092537188815
grails-core,24,143968,51021,0.35439125361191376
sympy,1,123718,42711,0.3452286651901906
sympy,2,129028,44626,0.34586291347614473
sympy,3,132112,46192,0.3496427273828267
sympy,4,135883,47391,0.3487632742874385
sympy,5,139412,49336,0.35388632255472985
sympy,6,140981,49930,0.3541611990268192
sympy,7,145794,51373,0.3523670384240778
sympy,8,151401,54930,0.36281134206511184
sympy,9,154826,56653,0.3659139937736556
sympy,10,157046,57628,0.3669498108834354
sympy,11,159348,59024,0.3704094183798981
sympy,12,160376,59772,0.3726991569810944
sympy,13,166339,62229,0.3741094992755758
sympy,14,167170,62686,0.3749835496799665
sympy,15,172846,64801,0.37490598567510963
sympy,16,175149,65670,0.37493791000805027
sympy,17,184020,70617,0.38374633192044344
sympy,18,186713,71848,0.38480448602936057
sympy,19,187307,72203,0.38547945351748736
sympy,20,188849,72734,0.38514368622550293
sympy,21,191335,74107,0.3873154415031228
sympy,22,204896,76875,0.37519034046540684
sympy,23,203953,78274,0.3837844993699529
sympy,24,205521,79053,0.38464682441210385
scipy,1,84921,36007,0.42400584072255393
scipy,2,84906,35992,0.42390408216144915
scipy,3,85178,36147,0.42437014252506516
scipy,4,85464,36348,0.42530188149396236
scipy,5,85640,36376,0.4247547874824848
scipy,6,86706,36647,0.42265817821142715
scipy,7,86949,37114,0.42684792234528285
scipy,8,88165,37854,0.42935405206147564
scipy,9,88906,38322,0.4310395248914584
scipy,10,89618,38846,0.433462027717646
scipy,11,90900,39860,0.43850385038503853
scipy,12,92164,40648,0.4410398854216397
scipy,13,94308,41667,0.44181829749331974
scipy,14,95991,42671,0.44453125813878386
scipy,15,97195,43168,0.4441380729461392
scipy,16,98473,43962,0.44643709443197627
scipy,17,99869,45100,0.45159158497631896
scipy,18,100566,45504,0.4524789690352604
scipy,19,102104,46534,0.4557509989814307
scipy,20,102519,46758,0.45609106604629385
scipy,21,104905,48557,0.4628664029359897
scipy,22,105855,49430,0.4669595200982476
scipy,23,105612,49444,0.46816649623148887
scipy,24,106011,49775,0.4695267472243446
hapi,1,4817,105,0.021797799460244967
hapi,2,4111,50,0.012162490878131841
hapi,3,2323,191,0.08222126560482135
hapi,4,2365,170,0.07188160676532769
hapi,5,2200,0,0
hapi,6,4201,997,0.23732444656034277
hapi,7,2912,469,0.16105769230769232
hapi,8,5990,2712,0.45275459098497495
hapi,9,8381,4687,0.559241140675337
hapi,10,7299,4289,0.5876147417454446
hapi,11,8759,5177,0.5910492065304258
hapi,12,11538,6826,0.5916103310799099
hapi,13,12788,7733,0.6047075383171724
hapi,14,12649,7652,0.6049490078267057
hapi,15,13201,7937,0.6012423301265055
hapi,16,13766,8412,0.6110707540316722
hapi,17,14206,8749,0.6158665352667887
hapi,18,14355,8815,0.6140717520027865
hapi,19,14457,8895,0.6152728781904959
hapi,20,15133,9365,0.6188462300931739
hapi,21,15813,9802,0.6198697274394486
hapi,22,15960,9889,0.6196115288220552
hapi,23,14109,8913,0.6317244312141187
hapi,24,14881,9496,0.6381291579866945
mrjob,1,15340,7634,0.49765319426336374
mrjob,2,16090,8176,0.508141702921069
mrjob,3,16707,8682,0.5196624169509786
mrjob,4,16760,8710,0.5196897374701671
mrjob,5,16920,8776,0.518676122931442
mrjob,6,17063,8873,0.5200140655218894
mrjob,7,18562,9854,0.5308695183708652
mrjob,8,18995,10091,0.5312450644906554
mrjob,9,19060,10137,0.5318467995802728
mrjob,10,19056,10135,0.5318534844668346
mrjob,11,19073,10137,0.5314842971740156
mrjob,12,19178,10231,0.5334758577536761
mrjob,13,19221,10257,0.5336350866240049
mrjob,14,19393,10426,0.5376166658072501
mrjob,15,19405,10428,0.5373872713218243
mrjob,16,19419,10439,0.537566301045368
mrjob,17,19450,10457,0.5376349614395887
mrjob,18,19617,10560,0.5383086098791864
mrjob,19,19452,10439,0.5366543286037425
mrjob,20,20141,10770,0.5347301524254009
mrjob,21,20706,11138,0.5379117164107022
mrjob,22,20741,11169,0.5384986259100333
mrjob,23,21014,11354,0.5403064623584277
mrjob,24,21131,11433,0.5410534286119919
underscore,1,4109,3423,0.8330494037478705
underscore,2,3582,2890,0.8068118369625907
underscore,3,3634,2925,0.8048981838194826
underscore,4,3704,2978,0.8039956803455723
underscore,5,3853,3111,0.8074227874383597
underscore,6,10399,9640,0.9270122127127608
underscore,7,10386,9640,0.9281725399576353
underscore,8,10410,9650,0.9269932756964457
underscore,9,10555,9746,0.9233538607295121
underscore,10,10680,9850,0.9222846441947565
underscore,11,10688,9855,0.922062125748503
underscore,12,10756,9907,0.9210673112681295
underscore,13,10808,9958,0.9213545521835678
underscore,14,10828,9978,0.9214998152936831
underscore,15,10976,10109,0.921009475218659
underscore,16,10999,10135,0.9214474043094827
underscore,17,11003,10140,0.9215668454057985
underscore,18,11015,10150,0.9214707217430776
underscore,19,11117,10253,0.9222811909687866
underscore,20,11149,10276,0.921697013185039
underscore,21,11176,10289,0.9206335003579098
underscore,22,11181,10291,0.9204006797245327
underscore,23,11200,10300,0.9196428571428571
underscore,24,11221,10310,0.9188129400231708
cesium,1,684125,100212,0.14648200255801205
cesium,2,691414,103796,0.1501213455324885
cesium,3,423302,102685,0.24258094693622992
cesium,4,429285,106104,0.24716447115552606
cesium,5,431609,107032,0.24798370747597942
cesium,6,437103,109770,0.2511307403518164
cesium,7,447895,110895,0.2475915114033423
cesium,8,496162,120961,0.24379335781458475
cesium,9,507775,121857,0.23998227561419921
cesium,10,509736,122828,0.24096394996625703
cesium,11,512006,123045,0.24031944938145255
cesium,12,213787,64675,0.3025207332531913
cesium,13,224025,70021,0.31255886619796897
cesium,14,229542,71990,0.31362452187399253
cesium,15,242797,75339,0.31029625571979885
cesium,16,240460,76568,0.31842302254013144
cesium,17,243849,78191,0.3206533551501134
cesium,18,248179,79519,0.3204098654600107
cesium,19,246667,79953,0.324133345765749
cesium,20,250275,81561,0.32588552592148634
cesium,21,259094,84656,0.326738558206674
cesium,22,261179,85473,0.327258317092875
cesium,23,264860,87432,0.3301064713433512
cesium,24,246399,74754,0.3033859715339754
pdf.js,1,34714,1738,0.050066255689347236
pdf.js,2,35570,1738,0.04886140005622716
pdf.js,3,37943,2055,0.0541601876498959
pdf.js,4,38556,2396,0.06214337586886606
pdf.js,5,39902,2482,0.06220239586988121
pdf.js,6,41096,2482,0.06039517227954059
pdf.js,7,41480,2523,0.060824493731919
pdf.js,8,42021,2564,0.061017110492372864
pdf.js,9,44245,2585,0.058424680754887555
pdf.js,10,45129,2826,0.06262048793458752
pdf.js,11,46744,3542,0.07577443094300873
pdf.js,12,46911,3624,0.0772526699494788
pdf.js,13,47319,3750,0.07924935015532873
pdf.js,14,48270,3835,0.07944893308473172
pdf.js,15,48473,3945,0.0813855135848823
pdf.js,16,50595,4039,0.07983002272951872
pdf.js,17,51802,4055,0.0782788309331686
pdf.js,18,52132,4063,0.07793677587662089
pdf.js,19,52291,4045,0.07735556787974986
pdf.js,20,52726,4044,0.07669840306490157
pdf.js,21,53662,4124,0.07685140322760986
pdf.js,22,53975,4124,0.07640574339972209
pdf.js,23,54741,4157,0.07593942383222813
pdf.js,24,55093,4163,0.07556313869275588
core,1,101534,5888,0.05799042685208895
core,2,104379,6298,0.06033780741336859
core,3,147672,9367,0.06343111761200498
core,4,151098,9729,0.06438867489973395
core,5,161564,13587,0.08409670471144562
core,6,168669,13675,0.0810759534947145
core,7,171612,14412,0.08398014124886372
core,8,173888,14875,0.08554356827383143
core,9,181352,19239,0.10608650580087343
core,10,182985,20026,0.10944066453534443
core,11,189093,22312,0.11799484909541866
core,12,194919,23577,0.12095793637357057
core,13,190364,28499,0.14970792796957408
core,14,192957,30274,0.1568950595210332
core,15,196292,31605,0.1610101277688342
core,16,212740,34302,0.16123907116668235
core,17,214949,36077,0.1678398131649833
core,18,219737,37422,0.17030359020101302
core,19,225808,38773,0.17170782257493092
core,20,235729,42414,0.17992695001463546
core,21,243001,45399,0.18682639166093967
core,22,250916,48843,0.1946587702657463
core,23,258693,52982,0.20480646944447667
core,24,261749,55867,0.21343730062005967
backbone,1,12938,12071,0.9329880970783738
backbone,2,13435,12501,0.9304800893189431
backbone,3,13844,12810,0.9253106038717134
backbone,4,13906,12856,0.9244930245937005
backbone,5,14044,12967,0.9233124465964113
backbone,6,14174,13096,0.9239452518696204
backbone,7,14382,13299,0.924697538589904
backbone,8,14560,13330,0.915521978021978
backbone,9,14611,13390,0.9164328245842174
backbone,10,14843,13577,0.9147072694199286
backbone,11,14959,13697,0.9156360719299418
backbone,12,15053,13792,0.9162293230585266
backbone,13,14275,12946,0.9069001751313485
backbone,14,14695,13386,0.9109220823409323
backbone,15,14828,13504,0.9107094685729701
backbone,16,14872,13560,0.9117805271651426
backbone,17,13958,12632,0.9050007164350193
backbone,18,13984,12655,0.9049628146453089
backbone,19,14027,12698,0.9052541527054966
backbone,20,14096,12767,0.9057179341657208
backbone,21,14096,12767,0.9057179341657208
backbone,22,14096,12767,0.9057179341657208
backbone,23,14178,12854,0.9066158837635774
backbone,24,15621,14280,0.9141540234299981
ansible,1,17146,1535,0.0895252537034877
ansible,2,18090,1843,0.10187949143173024
ansible,3,18174,1843,0.1014086057004512
ansible,4,18942,1853,0.09782493928835392
ansible,5,19747,2044,0.10350939383197448
ansible,6,20825,2163,0.1038655462184874
ansible,7,21108,2247,0.10645252984650369
ansible,8,22931,2964,0.12925733722907853
