transitionVersion,project,medianInsertions,medianDeletions,medianFiles,medianChanges,medianNumberOfCodeFiles,medianNumberOfCodeFilesChanges,medianMedianDepthCodeFiles,totalCommits,totalChanges,totalNumberOfCodeFilesChanges,totalNumberOfTestFilesChanges,changesPerCommit,codeChangesPerCommit,testChangesPerCommit,countCommitsWithTests,testCommitRatio,totalCommitters,countLowContributors
2,bokeh,9.5,4,1,14,1,10.5,3.25,102,19116,15011,3261,187.41176470588235,147.16666666666666,31.970588235294116,18,0.17647058823529413,5,1
3,bokeh,14,6,2,25,1,18,3.5,177,82645,44603,1723,466.92090395480227,251.99435028248587,9.734463276836157,9,0.05084745762711865,7,2
4,bokeh,9,3,1,14,1,11,4,213,25156,21297,3071,118.10328638497653,99.98591549295774,14.417840375586854,38,0.1784037558685446,5,
5,bokeh,13,4,1,21.5,1,9,4,50,93104,54700,356,1862.08,1094,7.12,8,0.16,3,
6,bokeh,6,5,1,15.5,1,8,3,80,362365,43851,80,4529.5625,548.1375,1,5,0.0625,3,1
7,bokeh,15,4,1,24,1,12,3,399,733625,194676,24302,1838.6591478696741,487.90977443609023,60.907268170426065,33,0.08270676691729323,5,2
8,bokeh,5,3,1,12,1,2,3,194,2083623,168115,447228,10740.324742268042,866.5721649484536,2305.298969072165,7,0.03608247422680412,8,2
9,bokeh,12,6,1,26.5,1,8,5,170,21713,10794,3765,127.7235294117647,63.49411764705882,22.147058823529413,30,0.17647058823529413,10,4
10,bokeh,10,5,1,21,1,5,3,171,282427,143466,5441,1651.6198830409357,838.9824561403509,31.818713450292396,41,0.23976608187134502,9,2
11,bokeh,8,4,1,16,1,9,4,286,209154,27379,22541,731.3076923076923,95.73076923076923,78.81468531468532,11,0.038461538461538464,13,5
12,bokeh,9,4,1,15,1,9,2,301,32153,25487,382,106.82059800664452,84.67441860465117,1.2691029900332227,17,0.05647840531561462,16,6
13,bokeh,5,2,1,11,1,4,3,350,238996,109479,13466,682.8457142857143,312.79714285714283,38.47428571428571,45,0.12857142857142856,9,
14,bokeh,12,4,1,19,1,14,2,282,198654,17750,638,704.4468085106383,62.94326241134752,2.2624113475177303,12,0.0425531914893617,8,1
15,bokeh,8,5,1,16,1,4,3,187,47886,9033,364,256.0748663101604,48.3048128342246,1.946524064171123,13,0.06951871657754011,12,2
16,bokeh,7,4,1,15,1,6,3,357,106786,82478,522,299.1204481792717,231.03081232492997,1.4621848739495797,15,0.04201680672268908,19,8
17,bokeh,12,5,1,24,1,8,3.5,249,42616,20905,1801,171.14859437751005,83.95582329317268,7.232931726907631,32,0.1285140562248996,12,2
18,bokeh,9,4,1,18,1,4,3,397,427059,286443,2175,1075.7153652392947,721.5188916876574,5.478589420654912,56,0.14105793450881612,18,6
19,bokeh,8,6,2,16,1,8,5,194,20347,13249,3946,104.88144329896907,68.29381443298969,20.34020618556701,34,0.17525773195876287,10,4
20,bokeh,9,4,2,20,1,9,3.25,234,458386,391828,6178,1958.91452991453,1674.4786324786326,26.4017094017094,17,0.07264957264957266,11,4
21,bokeh,9,4,1,17.5,1,5,3,288,27434,15590,1361,95.25694444444444,54.13194444444444,4.725694444444445,24,0.08333333333333333,15,5
22,bokeh,9.5,6,1,20.5,1,9.5,3,220,36342,17362,3245,165.1909090909091,78.91818181818182,14.75,26,0.11818181818181818,15,6
23,bokeh,10,5,2,22,1,9,3,491,66428,37700,9539,135.29124236252545,76.78207739307535,19.427698574338084,73,0.14867617107942974,19,8
24,bokeh,6,5,1,15,1,2,3,215,99921,6232,2951,464.74883720930234,28.986046511627908,13.725581395348836,58,0.26976744186046514,14,6
2,chef,5,2,1,8,1,2,5,98,3080,2119,814,31.428571428571427,21.622448979591837,8.306122448979592,39,0.3979591836734694,22,12
3,chef,5,2,1,8,0,0,4,169,28179,12851,1369,166.7396449704142,76.0414201183432,8.100591715976332,51,0.30177514792899407,21,10
4,chef,5,2,1,9,1,4,5,205,8324,5188,2255,40.604878048780485,25.307317073170733,11,57,0.2780487804878049,22,7
5,chef,6,5,2,17,1,5,5,197,62172,28940,13866,315.5939086294416,146.9035532994924,70.38578680203045,99,0.5025380710659898,24,8
6,chef,4,1,1,7,1,2,4,146,6115,1878,4122,41.88356164383562,12.863013698630137,28.232876712328768,74,0.5068493150684932,13,3
7,chef,7,2,1,12,1,2,4,326,15860,6649,8410,48.65030674846626,20.395705521472394,25.79754601226994,154,0.4723926380368098,26,10
8,chef,5,2,1,6.5,1,2,4,120,4565,1447,2175,38.041666666666664,12.058333333333334,18.125,60,0.5,18,2
9,chef,5,2,1,9,1,2,4,133,7793,4173,2444,58.59398496240601,31.37593984962406,18.37593984962406,32,0.24060150375939848,14,2
10,chef,7,3,1,10,1,6,4,83,8030,3585,4427,96.74698795180723,43.19277108433735,53.33734939759036,33,0.39759036144578314,11,4
11,chef,8,3,1,14,1,2,4,154,18931,7844,3166,122.92857142857143,50.935064935064936,20.558441558441558,71,0.461038961038961,32,19
12,chef,17,5,2,28,1,4,4,146,9638,4392,4670,66.01369863013699,30.08219178082192,31.986301369863014,81,0.5547945205479452,29,17
13,chef,13,3,2,21,1,2,4,453,40243,11713,27909,88.83664459161147,25.856512141280355,61.609271523178805,277,0.6114790286975718,32,13
14,chef,7,2,1,12,1,1,4,135,5112,1456,2298,37.86666666666667,10.785185185185185,17.022222222222222,60,0.4444444444444444,17,3
15,chef,8,2,1,10,0,0,4,65,5267,620,3011,81.03076923076924,9.538461538461538,46.323076923076925,50,0.7692307692307693,9,1
16,chef,6,3,1,15.5,0,0,4,80,2746,990,1728,34.325,12.375,21.6,49,0.6125,18,11
17,chef,10,3,1,17,1,2,4,283,48570,5567,4827,171.62544169611309,19.671378091872793,17.0565371024735,110,0.38869257950530034,35,16
18,chef,14.5,2,2,18,1,2,4,72,3318,1294,1621,46.083333333333336,17.97222222222222,22.51388888888889,34,0.4722222222222222,15,4
19,chef,7,1,1,8,1,2,4,81,2805,1240,736,34.629629629629626,15.308641975308642,9.08641975308642,38,0.4691358024691358,27,14
20,chef,13,3,1,16,1,2,4,67,7063,2018,2947,105.41791044776119,30.119402985074625,43.985074626865675,42,0.6268656716417911,14,5
